8522:  50.897178:-114.104047:14
8521:  50.897372:-114.099896:14
8520:  50.899132:-114.099431:14
8527:  51.105515:-113.926828:55,757,799
8526:  50.907357:-114.067180:12,11
8525:  51.103663:-114.158173:429,181
8524:  51.138725:-114.235113:158
6938:  50.894800:-114.045070:178
4299:  51.033058:-114.192938:454
4298:  51.034055:-114.191366:454
4295:  50.983264:-114.005125:72
4294:  50.983562:-114.010065:72
4297:  51.035404:-114.188003:454
4296:  51.035614:-114.188490:454
4291:  51.167736:-114.080597:421,738
4290:  51.030029:-114.187758:439
4293:  50.983254:-114.002290:72
4292:  51.170517:-114.082138:421,738
4749:  50.912160:-114.061812:15
4748:  50.909917:-114.062025:15
4743:  50.901179:-114.086999:14
4742:  50.900802:-114.089540:14
4741:  50.902451:-114.090035:14
4740:  50.903458:-114.090001:14
4747:  50.908145:-114.057755:15
4746:  50.908315:-114.059138:15
4745:  50.910752:-114.061972:15
4744:  50.900884:-114.081313:14
5869:  51.085783:-113.956844:25
5868:  51.084680:-113.969441:25
5865:  51.030670:-114.033721:24
5864:  51.023740:-114.030755:24
5867:  51.084794:-113.980787:25
5866:  51.034873:-114.036662:24
5861:  51.092414:-114.269434:408,696
5863:  51.018674:-114.027157:24
5862:  51.015969:-114.015594:24
8537:  51.138688:-114.155978:796,797
2180:  51.037937:-113.931015:440
4608:  51.063344:-114.051302:17,745
4609:  51.061809:-114.048245:17
4606:  51.005649:-114.136898:47,733,18,63
4607:  51.063363:-114.053842:17,745
4604:  51.001698:-114.134974:47,733,18,63
4605:  51.003903:-114.136848:47,733,18,63
4602:  50.998030:-114.126619:47,733,18,63
4603:  50.998607:-114.128879:47,733,18,63
4600:  50.994654:-114.120300:47,733,18,63
4601:  50.997108:-114.119521:47,733,18,63
6451:  50.997086:-114.066981:36,41,853,136
8683:  50.947528:-114.084742:3
6905:  51.000859:-114.071804:81,10,771,66
6904:  51.004480:-114.071647:81
6903:  51.006558:-114.071630:81
8139:  51.163021:-113.956087:445
8684:  50.945786:-114.085207:3
6456:  50.882756:-113.948686:14
6459:  50.915269:-113.957087:152
6458:  51.043611:-114.138152:70
8136:  50.998754:-113.983471:23
8689:  50.946272:-114.084521:3,763,760,762
6187:  51.040875:-113.973629:45,51
6186:  51.044817:-113.975812:45
6185:  51.045076:-113.980932:73,45,49
6184:  51.047679:-113.981762:23,57,66
6183:  51.050742:-113.981962:45,49,51
6182:  51.058886:-113.982103:45,57
6181:  51.056590:-113.976786:45,51
6180:  51.053244:-113.976790:45
6908:  51.161425:-114.043517:116,744
6189:  51.037759:-113.954800:45
6188:  51.040880:-113.969306:45,51
9191:  51.087842:-114.074408:72
